product_id,vendor_id,is_default
3f5b1347-d82a-4fc6-9326-d09f1f281e8b,d64946b5-b838-491b-998d-6256313861d6,true
3fc24c52-c519-4dea-b238-ee2e9c4d376c,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
433f3830-98fe-48b6-93ac-68477778602e,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
436eade2-a528-4557-9d8f-d278467457ce,75e2ae60-280c-4145-8766-6f32bc4b7d8d,true
44295a81-beff-43a2-88d4-1e405431e392,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
44de0858-e0d1-4334-acb3-e494a04b0702,d64946b5-b838-491b-998d-6256313861d6,true
453fce75-1a43-4af0-b546-886317281f5f,d64946b5-b838-491b-998d-6256313861d6,true
45f4b1ea-3c3e-46b9-9aab-33c9a8f317e1,d64946b5-b838-491b-998d-6256313861d6,true
460dc4d6-77e7-4b93-ad61-6f731f1981e1,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
465e6284-3a07-48db-99f6-9535e97ad8b8,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
47384dc9-fc02-4ef1-8269-c53e0bf8a571,a0a55973-9f1c-41e7-9801-63264b9e2828,true
496b3ae1-f3b1-4564-8c29-37a1661613d6,75e2ae60-280c-4145-8766-6f32bc4b7d8d,true
49789341-cc12-42b4-922d-7f5561ec08df,62894ceb-1958-4f50-aed7-d824d2a19b08,true
4bce631c-8b94-4f87-b40d-06c115f8a330,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
4c65c730-b7da-4073-8736-a58397c221dc,62894ceb-1958-4f50-aed7-d824d2a19b08,true
4e32e768-091b-4182-986d-0ec00dfab243,d64946b5-b838-491b-998d-6256313861d6,true
4fdb22a6-856d-4879-b12f-263b8550b577,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
50ceb2d3-bc16-4425-844a-5ac1b6a23f7e,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
51f1f14e-7f37-43e8-8338-fb53cd77f7d6,62894ceb-1958-4f50-aed7-d824d2a19b08,true
54e0afef-4040-4658-9629-9271a1ce522a,7204e754-cfcd-4902-996d-064881800543,true
55770734-0caa-47d1-81e1-90c6d098ae46,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
5862b835-296e-431f-9fa7-eb08becbd574,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
58fd13f4-1ee3-41e8-b6ab-07c379897341,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
5b5a8205-a746-4363-a9d5-185bed3f7c15,7f954bf9-4d27-40a3-9f83-a4abeaa1edba,true
5e47e79b-8ae4-4833-b1f8-29fc04801519,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
5e4b3830-1f2b-44b1-b213-3d4c27d0b8b4,d64946b5-b838-491b-998d-6256313861d6,true
5ff1e0a9-6ce2-4ea5-9289-222f44d6b466,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
5ff675e8-e6e9-4569-bec5-02fd1ed3a355,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
61c1615c-4e67-4c17-b373-51e90a911a03,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
6260e22f-3053-4e00-878d-b403236ce855,62894ceb-1958-4f50-aed7-d824d2a19b08,true
63e814de-28cb-4c32-a8e5-bef287e907c6,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
6574f0c7-8838-4911-9843-42991aa9e62a,62894ceb-1958-4f50-aed7-d824d2a19b08,true
658989a0-f7fa-4c79-891a-e2605b0e436b,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
660a4b63-b317-4c55-8578-f313d2c64abc,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
675738e2-57b9-429e-99d1-ecc3699dabc0,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
67b3529c-8179-4b63-9556-cf64139d0ff8,d64946b5-b838-491b-998d-6256313861d6,true
682895ff-a19e-4183-a01d-d113a9b54ada,d64946b5-b838-491b-998d-6256313861d6,true
68403275-8553-44c4-ad86-61f0105a544a,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
687b5161-098f-49b0-a630-8be1ae5db458,a0a55973-9f1c-41e7-9801-63264b9e2828,true
6c5464a3-1dd2-4cf4-af9d-1fba6a13e037,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
6d39caf1-7bdb-4fa1-9413-d05f7e6e26d5,75e2ae60-280c-4145-8766-6f32bc4b7d8d,true
6d7519d8-79ab-4f52-b3ea-e09e5193da91,62894ceb-1958-4f50-aed7-d824d2a19b08,true
6d9a1c57-e0f2-4b61-8ec4-314415f2e45c,d5b38434-75c1-46b6-bcfc-c934597f29ec,true
6da5cab8-b8ad-4ebc-9460-9d61d1f622c2,d64946b5-b838-491b-998d-6256313861d6,true
